probeid	metarow	metacol	row	column
1	1	1	1	1
2	1	1	1	2
3	1	1	1	3
4	1	1	1	4
5	1	1	1	5
6	1	1	1	6
7	1	1	1	7
8	1	1	1	8
9	1	1	1	9
10	1	1	1	10
11	1	1	1	11
12	1	1	1	12
13	1	1	1	13
14	1	1	1	14
15	1	1	2	1
16	1	1	2	2
17	1	1	2	3
18	1	1	2	4
19	1	1	2	5
20	1	1	2	6
21	1	1	2	7
22	1	1	2	8
23	1	1	2	9
24	1	1	2	10
25	1	1	2	11
26	1	1	2	12
27	1	1	2	13
28	1	1	2	14
29	1	1	3	1
30	1	1	3	2
31	1	1	3	3
32	1	1	3	4
33	1	1	3	5
34	1	1	3	6
35	1	1	3	7
36	1	1	3	8
37	1	1	3	9
38	1	1	3	10
39	1	1	3	11
40	1	1	3	12
41	1	1	3	13
42	1	1	3	14
43	1	1	4	1
44	1	1	4	2
45	1	1	4	3
46	1	1	4	4
47	1	1	4	5
48	1	1	4	6
49	1	1	4	7
50	1	1	4	8
51	1	1	4	9
52	1	1	4	10
53	1	1	4	11
54	1	1	4	12
55	1	1	4	13
56	1	1	4	14
57	1	1	5	1
58	1	1	5	2
59	1	1	5	3
60	1	1	5	4
61	1	1	5	5
62	1	1	5	6
63	1	1	5	7
64	1	1	5	8
65	1	1	5	9
66	1	1	5	10
67	1	1	5	11
68	1	1	5	12
69	1	1	5	13
70	1	1	5	14
71	1	1	6	1
72	1	1	6	2
73	1	1	6	3
74	1	1	6	4
75	1	1	6	5
76	1	1	6	6
77	1	1	6	7
78	1	1	6	8
79	1	1	6	9
80	1	1	6	10
81	1	1	6	11
82	1	1	6	12
83	1	1	6	13
84	1	1	6	14
85	1	1	7	1
86	1	1	7	2
87	1	1	7	3
88	1	1	7	4
89	1	1	7	5
90	1	1	7	6
91	1	1	7	7
92	1	1	7	8
93	1	1	7	9
94	1	1	7	10
95	1	1	7	11
96	1	1	7	12
97	1	1	7	13
98	1	1	7	14
99	1	1	8	1
100	1	1	8	2
101	1	1	8	3
102	1	1	8	4
103	1	1	8	5
104	1	1	8	6
105	1	1	8	7
106	1	1	8	8
107	1	1	8	9
108	1	1	8	10
109	1	1	8	11
110	1	1	8	12
111	1	1	8	13
112	1	1	8	14
113	1	1	9	1
114	1	1	9	2
115	1	1	9	3
116	1	1	9	4
117	1	1	9	5
118	1	1	9	6
119	1	1	9	7
120	1	1	9	8
121	1	1	9	9
122	1	1	9	10
123	1	1	9	11
124	1	1	9	12
125	1	1	9	13
126	1	1	9	14
127	1	2	1	1
128	1	2	1	2
129	1	2	1	3
130	1	2	1	4
131	1	2	1	5
132	1	2	1	6
133	1	2	1	7
134	1	2	1	8
135	1	2	1	9
136	1	2	1	10
137	1	2	1	11
138	1	2	1	12
139	1	2	1	13
140	1	2	1	14
141	1	2	2	1
142	1	2	2	2
143	1	2	2	3
144	1	2	2	4
145	1	2	2	5
146	1	2	2	6
147	1	2	2	7
148	1	2	2	8
149	1	2	2	9
150	1	2	2	10
151	1	2	2	11
152	1	2	2	12
153	1	2	2	13
154	1	2	2	14
155	1	2	3	1
156	1	2	3	2
157	1	2	3	3
158	1	2	3	4
159	1	2	3	5
160	1	2	3	6
161	1	2	3	7
162	1	2	3	8
163	1	2	3	9
164	1	2	3	10
165	1	2	3	11
166	1	2	3	12
167	1	2	3	13
168	1	2	3	14
169	1	2	4	1
170	1	2	4	2
171	1	2	4	3
172	1	2	4	4
173	1	2	4	5
174	1	2	4	6
175	1	2	4	7
176	1	2	4	8
177	1	2	4	9
178	1	2	4	10
179	1	2	4	11
180	1	2	4	12
181	1	2	4	13
182	1	2	4	14
183	1	2	5	1
184	1	2	5	2
185	1	2	5	3
186	1	2	5	4
187	1	2	5	5
188	1	2	5	6
189	1	2	5	7
190	1	2	5	8
191	1	2	5	9
192	1	2	5	10
193	1	2	5	11
194	1	2	5	12
195	1	2	5	13
196	1	2	5	14
197	1	2	6	1
198	1	2	6	2
199	1	2	6	3
200	1	2	6	4
201	1	2	6	5
202	1	2	6	6
203	1	2	6	7
204	1	2	6	8
205	1	2	6	9
206	1	2	6	10
207	1	2	6	11
208	1	2	6	12
209	1	2	6	13
210	1	2	6	14
211	1	2	7	1
212	1	2	7	2
213	1	2	7	3
214	1	2	7	4
215	1	2	7	5
216	1	2	7	6
217	1	2	7	7
218	1	2	7	8
219	1	2	7	9
220	1	2	7	10
221	1	2	7	11
222	1	2	7	12
223	1	2	7	13
224	1	2	7	14
225	1	2	8	1
226	1	2	8	2
227	1	2	8	3
228	1	2	8	4
229	1	2	8	5
230	1	2	8	6
231	1	2	8	7
232	1	2	8	8
233	1	2	8	9
234	1	2	8	10
235	1	2	8	11
236	1	2	8	12
237	1	2	8	13
238	1	2	8	14
239	1	2	9	1
240	1	2	9	2
241	1	2	9	3
242	1	2	9	4
243	1	2	9	5
244	1	2	9	6
245	1	2	9	7
246	1	2	9	8
247	1	2	9	9
248	1	2	9	10
249	1	2	9	11
250	1	2	9	12
251	1	2	9	13
252	1	2	9	14
253	1	3	1	1
254	1	3	1	2
255	1	3	1	3
256	1	3	1	4
257	1	3	1	5
258	1	3	1	6
259	1	3	1	7
260	1	3	1	8
261	1	3	1	9
262	1	3	1	10
263	1	3	1	11
264	1	3	1	12
265	1	3	1	13
266	1	3	1	14
267	1	3	2	1
268	1	3	2	2
269	1	3	2	3
270	1	3	2	4
271	1	3	2	5
272	1	3	2	6
273	1	3	2	7
274	1	3	2	8
275	1	3	2	9
276	1	3	2	10
277	1	3	2	11
278	1	3	2	12
279	1	3	2	13
280	1	3	2	14
281	1	3	3	1
282	1	3	3	2
283	1	3	3	3
284	1	3	3	4
285	1	3	3	5
286	1	3	3	6
287	1	3	3	7
288	1	3	3	8
289	1	3	3	9
290	1	3	3	10
291	1	3	3	11
292	1	3	3	12
293	1	3	3	13
294	1	3	3	14
295	1	3	4	1
296	1	3	4	2
297	1	3	4	3
298	1	3	4	4
299	1	3	4	5
300	1	3	4	6
301	1	3	4	7
302	1	3	4	8
303	1	3	4	9
304	1	3	4	10
305	1	3	4	11
306	1	3	4	12
307	1	3	4	13
